trial_number,param_hidden_layer_sizes,param_activation,param_learning_rate_init,param_batch_size,param_alpha,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
10,256,relu,0.0032134644477001682,128,0.017992912338684393,"[0.7592926111385973, 0.7835702014113207, 0.7892822446073846, 0.7577375466340969, 0.7457696837776243]","[0.7798159833355643, 0.8030794427546997, 0.8164722543335057, 0.7747643197452422, 0.7784587989729226]","[0.9997229240958575, 0.999839251941254, 0.9997845558563283, 0.9998994290459513, 0.9998459930523502]","[2.538831518570019, 2.5864888961072747, 2.6055390547972186, 2.5324012954252906, 2.5240744758028972]",0.7671304575138047,0.7905181598283868,0.9998184307983482,2.55746704814054,0.03238463923617034
11,32,relu,0.006303415110048188,64,0.0001259472877959834,"[0.8645268604541436, 0.9132213114947425, 0.9253570295084457, 0.9203674316935861, 0.8639731807634621]","[0.8857718510990482, 0.9322367324833, 0.9383776656846766, 0.9441936564433243, 0.882531025798592]","[0.999824330551818, 0.9998499164792943, 0.9999253652556113, 0.99992753266009, 0.9998706321854048]","[2.7501230421050096, 2.845307960457337, 2.8636600604487334, 2.864488620797, 2.746374838747459]",0.897489162782876,0.9166221863017883,0.9998795554264437,2.813990904511108,0.05412732875815003
12,128,relu,0.004568749851533264,64,0.000116682324032162,"[0.9027031661193148, 0.8912986276240951, 0.8931395337717831, 0.919828581911754, 0.862269934784299]","[0.9229764019902273, 0.8945571823296062, 0.9198320763765566, 0.9417292379286901, 0.8768051273215802]","[0.9998551390047291, 0.9998802956385359, 0.9999268196800102, 0.9999311172702084, 0.9998758443623403]","[2.8255347071142713, 2.785736105592237, 2.81289842982835, 2.8614889371106527, 2.7389509064682196]",0.8938479688422494,0.9111800051893321,0.9998938431911647,2.804921817222746,0.04100880204859333
13,256,relu,0.004280950138828384,64,0.00012886313870775733,"[0.8947794105259574, 0.871435345069002, 0.9162589136788111, 0.9185888784093814, 0.8837007704841184]","[0.9175478723766066, 0.9050105327668244, 0.9373320748971783, 0.9377590572632074, 0.8891611907252313]","[0.99985194041305, 0.9998717297706854, 0.9999276486137194, 0.9999369562474876, 0.9998660550721032]","[2.812179223315614, 2.776317607606512, 2.8535186371897088, 2.856284891920076, 2.772728016281453]",0.896952663633454,0.9173621456058096,0.9998908660234092,2.8142056752626727,0.035989381274901616
14,256,relu,0.0010786828011887855,256,0.0016725005600519496,"[0.9077743226141743, 0.8980101223227454, 0.9178367074932203, 0.9155007829508607, 0.8626856705253545]","[0.9217845979616633, 0.9261912604751977, 0.9330126846599798, 0.9426192551676147, 0.8796893089227129]","[0.9998540316878972, 0.9999019498572728, 0.9999390947330496, 0.9999450309269625, 0.9998853596484432]","[2.829412952263735, 2.824103332655216, 2.8507884868862496, 2.858065069045438, 2.742260339096511]",0.9003615211812711,0.9206594214374337,0.9999050933707251,2.8209260359894297,0.04133155835314788
15,256,relu,0.0006945597735514109,256,0.0024711074168637676,"[0.9062650370970631, 0.8949437803715335, 0.8925422817665549, 0.9304760906476459, 0.8616533118475036]","[0.9286208407314401, 0.9345137907073107, 0.9156181218298479, 0.9546080573514805, 0.8793781586581438]","[0.9998595065523316, 0.9998941427009655, 0.9999364204800457, 0.9999420086207792, 0.9998773135562967]","[2.8347453843808346, 2.82935171377981, 2.808096824076449, 2.8850261566199054, 2.740908784061944]",0.8971761003460601,0.9225477938556444,0.9999018783820837,2.8196257725837883,0.04675401108086131
16,64,tanh,4.855844338834526e-05,256,0.018400291806307093,"[0.7036089919329703, 0.7300841291433106, 0.7458929160126659, 0.7165259490701957, 0.7134337658532433]","[0.7349667511182523, 0.7558364319517327, 0.7655651338367376, 0.7479498329044384, 0.7476938309782164]","[0.999724392810066, 0.9998037189301818, 0.9997777992734791, 0.9998044998059565, 0.9997061327270874]","[2.4383001358612884, 2.485724280025225, 2.5112358491228823, 2.4642802817805904, 2.460833729558547]",0.721909150402477,0.7504023961578755,0.9997633087093544,2.4720748552697067,0.02468902667167638
17,256,relu,0.0010048108718808428,256,0.0012184243132254905,"[0.9091057549446879, 0.8867967291811422, 0.9185567332084245, 0.9154477074098873, 0.8626886301997904]","[0.9307276448748975, 0.918993780889327, 0.933431831132609, 0.9425724449220789, 0.879693073354883]","[0.999860825250446, 0.9999030900249177, 0.999941715684338, 0.9999447830607877, 0.9998856191670289]","[2.8396942250700317, 2.805693600095387, 2.851930280025371, 2.8579649353927543, 2.7422673227217023]",0.8985191109887865,0.9210837550347591,0.9999072066375037,2.819510072661049,0.04264876001498551
18,128,relu,0.00025300278190368996,128,0.005783864810566003,"[0.8046551131645099, 0.8045382361492631, 0.797318442690367, 0.8203971461986764, 0.8506406605114972]","[0.8329660120976473, 0.8298134382197822, 0.8213851232449167, 0.8431281173429498, 0.8749115587856263]","[0.9998254074203808, 0.9998991546180451, 0.9999146836674591, 0.9999297304229852, 0.9998681063578502]","[2.6374465326825383, 2.6342508289870903, 2.6186182496027426, 2.6634549939646113, 2.725420325654974]",0.8155099197428626,0.8404408499381845,0.999887416497344,2.6558381861783915,0.03765442997179072
19,128,tanh,1.1120260454360948e-05,128,0.07577430085471532,"[0.617281097517627, 0.6204021728031635, 0.623522476310372, 0.6146531159985167, 0.6107724377556161]","[0.6426533237370056, 0.6438851013871318, 0.6461087565137994, 0.6388163284578137, 0.6376823310843828]","[0.9990287503297312, 0.9987706532254154, 0.9985419281422244, 0.9987937873951139, 0.9988883796723322]","[2.2589631715843637, 2.2630579274157108, 2.2681731609663958, 2.2522632318514444, 2.247343148512331]",0.617326260077059,0.6418291682360266,0.9988046997529635,2.257960128066049,0.0074360550946943466
