trial_number,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_criterion,param_class_weight,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
40,161,42,6,3,sqrt,True,gini,balanced,"[0.9306369979721264, 0.9572228423409076, 0.9537312358596559, 0.9513490408759612, 0.9539453357764329]","[0.7887811675455539, 0.8355443381031273, 0.823560869332372, 0.8326910889084848, 0.8336830089559031]","[0.9996467748777274, 0.9993700814893393, 0.9996668023480828, 0.9996020469861042, 0.9997025835558455]","[2.7190649403954077, 2.792137261933374, 2.776958907540111, 2.78364217677055, 2.7873309282881813]",0.9493770905650167,0.8228520945690881,0.9995976578514199,2.771826842985525,0.026842683706672137
41,287,47,10,2,sqrt,True,gini,balanced,"[0.9395698338661539, 0.9542955492727174, 0.9504977361524769, 0.940498065981611, 0.9538633716738072]","[0.8108400038053429, 0.8447279061831162, 0.8319878279427998, 0.8444849226844484, 0.8452078618632565]","[0.9996494755237009, 0.9993552992369223, 0.9996081251586462, 0.9996417871186578, 0.999745884021608]","[2.750059313195198, 2.798378754692756, 2.782093689253923, 2.7846247757847173, 2.798817117558672]",0.9477449113893532,0.8354497044957927,0.999600114211907,2.782794730097053,0.01774839016807236
42,189,45,8,2,sqrt,True,gini,balanced,"[0.9369932900727446, 0.9534130674012757, 0.9504842546446197, 0.9402539035873613, 0.9522688837399881]","[0.804694298387953, 0.8429425706826237, 0.8330695450804718, 0.8406262980411658, 0.8410500491543071]","[0.999645583920858, 0.9994223967527478, 0.9996954504366616, 0.9996367058541042, 0.9997516867163041]","[2.7413331723815557, 2.795778034836647, 2.783249250161753, 2.7805169074826313, 2.7930706196105994]",0.946682679889198,0.8324765522693044,0.9996303647361351,2.7787895968946374,0.01958780477724761
43,211,50,9,1,sqrt,True,gini,balanced,"[0.9421431906517904, 0.9329122629681543, 0.9424073533234167, 0.9247597007768127, 0.9464377145302504]","[0.8327565229708732, 0.8583689037005316, 0.8418144636078105, 0.8503203256205409, 0.85452250071874]","[0.9996521737643611, 0.9995706961446406, 0.9995911233558122, 0.9997309807847864, 0.9998097739027054]","[2.774551887387025, 2.7908518628133265, 2.7838129402870395, 2.77481100718214, 2.800769989151696]",0.937732044450085,0.8475565433236995,0.9996709495904611,2.7849595373642457,0.00997312802167993
44,212,50,2,1,sqrt,True,gini,balanced,"[0.9273761650211321, 0.9267443929110736, 0.9370446458973137, 0.8812491522856072, 0.9318429630461094]","[0.8278743849368386, 0.8636892346909322, 0.8435011992739089, 0.8323307353398504, 0.8531724047415997]","[0.9996564815185262, 0.9989464360148067, 0.9996536658990895, 0.9994012709277574, 0.9997635397830354]","[2.7549070314764967, 2.7893800636168122, 2.780199511070312, 2.712981158553215, 2.7847789075707445]",0.9208514638322471,0.844113591796626,0.999484278828643,2.7644493344575163,0.028365223566233996
45,230,39,11,1,sqrt,True,gini,balanced,"[0.9326930869889271, 0.9400240187421471, 0.9456089648706479, 0.9482314661035565, 0.9505055014553667]","[0.8035562840996393, 0.8462078395432884, 0.8363906050640593, 0.8450200898181621, 0.8459594816661302]","[0.9997136303387613, 0.9995465499727962, 0.9997930467077629, 0.9997006054076434, 0.9997980864710372]","[2.7359630014273275, 2.7857784082582318, 2.7817926166424702, 2.792952161329362, 2.796263069592534]",0.9434126076321292,0.835426860038256,0.9997103837796002,2.778549851449985,0.021897908490552686
46,190,48,14,1,log2,True,gini,balanced_subsample,"[0.928689869560843, 0.9430128902703518, 0.9505817689108352, 0.9568391192202111, 0.9544952091761578]","[0.818371532701409, 0.8597756915830889, 0.8448187421930977, 0.8546714943153855, 0.8577306550580229]","[0.9997392099558587, 0.9996668415756237, 0.9997868129145614, 0.9997639294264381, 0.9998237808999215]","[2.746800612218111, 2.8024554234290644, 2.795187324018494, 2.811274542962035, 2.8120496451341026]",0.9467237714276798,0.847073623170201,0.9997561149544808,2.7935535095523614,0.02418217891791341
47,185,35,18,1,log2,True,gini,balanced_subsample,"[0.9375441477831152, 0.9613586625462264, 0.9552035918974354, 0.9527228479142107, 0.9475373796934857]","[0.7901729668928388, 0.8415470881935555, 0.8278327275381094, 0.8303750289579803, 0.8421626744393375]","[0.9996445903373657, 0.9995573552206453, 0.9996428029254855, 0.9996706979659834, 0.9997449958038426]","[2.72736170501332, 2.802463105960427, 2.78267912236103, 2.7827685748381743, 2.7894450499366656]",0.9508733259668947,0.8264180972043642,0.9996520884506644,2.776943511621923,0.025817522321220487
48,167,32,14,1,log2,True,gini,balanced_subsample,"[0.9425266512509743, 0.9616517787761613, 0.9579073483885232, 0.9487050070040344, 0.9442148688496863]","[0.7849513171348335, 0.8260563775621981, 0.8155309176968965, 0.8202199873210192, 0.8274873041519615]","[0.9996180688080313, 0.9995476577796876, 0.9995511882227928, 0.9996466748597957, 0.9996969955409513]","[2.727096037193839, 2.787255814118047, 2.7729894543082123, 2.7685716691848494, 2.771399168542599]",0.9510011308538757,0.8148491807733815,0.9996121170422517,2.7654624286695095,0.02024104748298154
49,211,48,16,1,log2,True,gini,balanced,"[0.9285786264727457, 0.9530666973195082, 0.9437140612251573, 0.9470759460917405, 0.9542148870102781]","[0.8181563644566784, 0.8580121822723601, 0.8423062508670224, 0.8471906483501404, 0.8560710374511257]","[0.9997511074307216, 0.999651219518118, 0.9997862771162326, 0.9997594883489908, 0.999825360350854]","[2.746486098360146, 2.8107300991099864, 2.7858065892084123, 2.7940260827908716, 2.810111284812258]",0.9453300436238861,0.8443472966794655,0.9997546905529834,2.789432030856335,0.02349400567718368
