trial_number,param_n_neighbors,param_n_trees,param_metric,param_search_k,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
43,5,36,hamming,373,"[0.8381281399488003, 0.7968836929838892, 0.8644105210377546, 0.8455438509748572, 0.8390170070685028]","[0.8613191517225828, 0.8192237673911259, 0.8912917184992664, 0.8747038190845092, 0.8667102060028836]","[0.9509642233511884, 0.9502679420874124, 0.9765019997350792, 0.9636387646110696, 0.9507375547377036]","[2.6504115150225713, 2.5663754024624272, 2.7322042392721, 2.683886434670436, 2.65646476780909]",0.8367966424027606,0.8626497325400736,0.9584220969044907,2.657868471847325,0.054094914814015495
44,3,25,manhattan,474,"[0.8230770783887589, 0.8098758268037927, 0.8805460805630945, 0.8744762323461628, 0.8382341805341621]","[0.844972780295237, 0.8380299605202106, 0.8827724224743251, 0.8996035235423069, 0.8547897238868647]","[0.9376611767411488, 0.9398210286331036, 0.9554673325637237, 0.9565159668109492, 0.941316999103619]","[2.6057110354251445, 2.5877268159571067, 2.7187858356011434, 2.7305957226994186, 2.6343409035246457]",0.8452418797271942,0.8640336821437888,0.9461565007705088,2.655432062641492,0.05859060387205609
45,11,28,hamming,187,"[0.7947441231249828, 0.7733622467012458, 0.8359643802156524, 0.8005275673609913, 0.8330306869204136]","[0.8187025424561923, 0.8011079665369958, 0.863426102675267, 0.8263376853024482, 0.8647917836559832]","[0.9774712268012706, 0.9648579174926539, 0.9816072321845358, 0.978640049318805, 0.9618601810561381]","[2.590917892382446, 2.5393281307308957, 2.6809977150754554, 2.6055053019822445, 2.659682651632535]",0.8075258008646571,0.8348732161253773,0.9728873213706807,2.6152863383607152,0.050493874480462754
46,28,20,cosine,378,"[0.7537271253139373, 0.7322217553852284, 0.7396544690409854, 0.7272857797151489, 0.7084227300390278]","[0.7846007129068951, 0.7675072470892563, 0.7718001922290683, 0.7586595825977926, 0.7474478646057819]","[0.9815230711676094, 0.971512023614894, 0.9903447543559305, 0.9840843537204995, 0.9751233326326499]","[2.519850909388442, 2.4712410260893787, 2.5017994156259844, 2.470029716033441, 2.4309939272774597]",0.7322623718988656,0.7660031198857589,0.9805175070983168,2.4787829988829406,0.030442159555962134
47,8,39,hamming,442,"[0.8370295323939401, 0.7793851078264288, 0.8238322938863638, 0.8419112454687834, 0.8312594501100264]","[0.8621829478590824, 0.8058432455681087, 0.8450638726578505, 0.8768332446410696, 0.8598308925857645]","[0.9664424521686797, 0.9635569748380766, 0.9820942312358295, 0.9737481162299928, 0.9608073612237884]","[2.665654932421702, 2.548785328232614, 2.6509903977800438, 2.6924926063398456, 2.6518977039195795]",0.8226835259371086,0.849950840662375,0.9693298271392734,2.641964193738757,0.048942455067658285
48,34,32,euclidean,348,"[0.7170740064169039, 0.7332224884289628, 0.7008769251319898, 0.7308552738255769, 0.7162385038380065]","[0.7525927465000525, 0.774412433664435, 0.7385496758691312, 0.7660890859724685, 0.7549100990132377]","[0.986124505606126, 0.9849036825190564, 0.9821115627047021, 0.9843729703037559, 0.9762612078747728]","[2.4557912585230826, 2.492538604612454, 2.421538163705823, 2.481317330101801, 2.447409810726017]",0.719653439528288,0.757310808203865,0.9827547858016826,2.4597190335338355,0.025172738682604792
49,5,35,manhattan,415,"[0.8352836912899714, 0.7868037770145848, 0.8414461377586433, 0.844499262044333, 0.8135135826429066]","[0.8606614791315965, 0.8106725952239746, 0.8644475014843381, 0.8730288553182411, 0.8464731871469341]","[0.940767709995808, 0.9480914080667585, 0.9609681461754834, 0.9587168801946945, 0.9493525124417023]","[2.636712880417376, 2.545567780305318, 2.666861785418465, 2.6762449975572684, 2.609339282231543]",0.8243092901500878,0.8510567236610169,0.9515793313748894,2.626945345185994,0.04701375157955801
50,15,23,cosine,478,"[0.7822424867968322, 0.7985374036697516, 0.7806999719251274, 0.778262607105704, 0.7617902424067045]","[0.7964887947607638, 0.834024432659467, 0.8165581222761651, 0.8095434135492658, 0.7863718437724755]","[0.9740837860813495, 0.9715689445762561, 0.9848725549324823, 0.9828718914988345, 0.9682632868602922]","[2.5528150676389454, 2.604130780905475, 2.582130649133775, 2.5706779121538044, 2.516425373039472]",0.780306542380824,0.8085973214036274,0.9763320927898429,2.565235956574295,0.02954523455285562
51,3,34,hamming,409,"[0.8423179557504408, 0.8051021178761232, 0.8686931319876662, 0.896353252274136, 0.8361528006432623]","[0.857331334177099, 0.831711322683617, 0.8852739032735921, 0.9153166271240546, 0.853893522288296]","[0.9392010783016893, 0.9432399945401708, 0.9617570061114968, 0.9589963944419715, 0.9425065586803585]","[2.638850368229229, 2.580053435099911, 2.715724041372755, 2.770666273840162, 2.6325528816119164]",0.8497238517063256,0.8687053419093317,0.9491402064151375,2.6675694000307946,0.0673168899157114
52,6,31,hamming,446,"[0.8461498142601919, 0.7901740910195099, 0.8649246370558484, 0.8465398665030512, 0.8340941626259618]","[0.8703843492848232, 0.815844290418148, 0.8931366762901088, 0.8776955670121562, 0.8628808531131397]","[0.961662095924298, 0.9516462377582967, 0.9773579271638049, 0.9667640801052094, 0.9554399200239481]","[2.678196259469313, 2.5576646191959544, 2.735419240509762, 2.690999513620417, 2.6524149357630495]",0.8363765142929127,0.8639883472236752,0.9625740521951114,2.662938913711699,0.05910501304831925
53,3,34,hamming,431,"[0.8222361539198151, 0.8233151341144559, 0.8607289092991607, 0.8975486503413243, 0.8361574046948277]","[0.8448365818859256, 0.8582953992795879, 0.8759837540966576, 0.9160277389643185, 0.8539012020063669]","[0.9392021412153191, 0.9432293446913879, 0.9602716633384887, 0.9594205446939431, 0.9425047641695674]","[2.6062748770210598, 2.6248398780854316, 2.6969843267343068, 2.7729969339995857, 2.632563370870762]",0.8479972504739168,0.8698089352465713,0.9489256916217412,2.6667318773422286,0.06129428731075599
54,9,34,hamming,429,"[0.8255044994820132, 0.7757707851510756, 0.8251587488460195, 0.8145651801940565, 0.8123173641725993]","[0.8619889424737184, 0.8024810356767582, 0.8570541016010417, 0.8392519947797932, 0.8511494319146674]","[0.96918036996588, 0.9675595022758421, 0.9815491002283995, 0.986438886114975, 0.9605638242348751]","[2.6566738119216113, 2.545811323103676, 2.6637619506754606, 2.6402560610888246, 2.6240306203221415]",0.8106633155691527,0.8423851012891956,0.9730583365639944,2.626106753422343,0.04243613627940067
55,5,38,hamming,227,"[0.8376937834326635, 0.8149896330313056, 0.863238653441464, 0.8443410635770602, 0.83896903322652]","[0.8619667463557602, 0.8441516910346007, 0.8872731030047345, 0.8729471741722966, 0.86667514551426]","[0.9504292618543424, 0.9602571481024468, 0.9766180942346341, 0.9676477910333019, 0.9504499820659054]","[2.650089791642766, 2.619398472168353, 2.7271298506808326, 2.6849360287826585, 2.6560941608066853]",0.8398464333418026,0.8666027720163303,0.961080455458126,2.667529660816259,0.036350227772581366
56,7,38,hamming,216,"[0.8385015385011149, 0.7966835046879254, 0.8256817722218185, 0.822107806589746, 0.8315860465284222]","[0.8643503590278472, 0.8250264358749557, 0.8390973475990583, 0.8481524974869495, 0.8618223797034191]","[0.9659148586666795, 0.9702353962118945, 0.981571776792733, 0.9672898878931298, 0.9584588391965875]","[2.668766756195642, 2.5919453367747756, 2.64635089661361, 2.6375501919698254, 2.6518672654284288]",0.8229121337058054,0.8476898039384461,0.9686941517522047,2.6392960893964563,0.02577388952001844
57,11,40,hamming,116,"[0.7747880161996166, 0.7789043243722276, 0.8078661276248039, 0.801468169786135, 0.7789609615117741]","[0.7936757814867644, 0.8050380965082438, 0.8349535303911166, 0.830290938183255, 0.8104361794375882]","[0.9751784205760776, 0.9636765189237169, 0.983386536379982, 0.9694995107015104, 0.9517919893297253]","[2.5436422182624585, 2.547618939804188, 2.6262061943959027, 2.6012586186709004, 2.5411891302790877]",0.7883975198989115,0.8148789052013935,0.9687065951822025,2.5719830202825076,0.035049354944610325
58,38,35,hamming,226,"[0.7656980926617117, 0.7564017215746517, 0.7540368792765606, 0.7550253324795677, 0.7478558495194595]","[0.792387884802994, 0.794850046907463, 0.7881669985277171, 0.786908196442019, 0.7909030549715022]","[0.9951416979824362, 0.9782258625357069, 0.9947434936976766, 0.997980633139083, 0.990825370176906]","[2.553227675447142, 2.5294776310178215, 2.536947371501954, 2.5399141620606698, 2.529584274667868]",0.7558035751023903,0.7906432363303391,0.9913834115063617,2.537830222939091,0.008717399008364005
59,24,41,hamming,151,"[0.7667953215405048, 0.7617655074181393, 0.7737276123072836, 0.777343575609562, 0.776426293169791]","[0.7912554744897613, 0.7980757200512982, 0.8090216773956491, 0.811587648921105, 0.8134506018720092]","[0.9913394125568612, 0.9692802033553654, 0.98750069743313, 0.9882380008597085, 0.981060101481559]","[2.5493902085871274, 2.529121430824803, 2.5702499871360627, 2.5771692253903753, 2.570936996523359]",0.7712116620090561,0.8046782245459646,0.9834836831373248,2.5593735696923456,0.017796370771746037
60,4,29,hamming,299,"[0.8494661341517415, 0.8024009730270236, 0.8458817316653104, 0.8613117554898713, 0.825788147988324]","[0.8743997156001759, 0.8339858427326184, 0.863212502047803, 0.8784241059595946, 0.8414623126941317]","[0.9412412551187052, 0.945020441889801, 0.9651390595898615, 0.9608490023730221, 0.950165028408084]","[2.6651071048706227, 2.581407257649443, 2.674233293302975, 2.7005848638224883, 2.61741548909054]",0.8369697484644542,0.8582968958068647,0.9524829574758948,2.647749601747214,0.04269824062585618
61,4,34,euclidean,269,"[0.8255077431728515, 0.7758897534618439, 0.8289483433962933, 0.8191275746918191, 0.7838311129020624]","[0.8576413498058971, 0.801343273129902, 0.85125795495772, 0.8375255865069688, 0.7990457471639444]","[0.9388510515208776, 0.9400066056070296, 0.9650549643558312, 0.9555886053712992, 0.9458370876232095]","[2.622000144499626, 2.5172396321987756, 2.6452612627098446, 2.6122417665700874, 2.528713947689216]",0.806660905524974,0.8293627823128865,0.9490676628956493,2.58509135073351,0.05196554575243906
62,6,37,hamming,455,"[0.8469988104428983, 0.7906527418356225, 0.8503458231924287, 0.8413584480914177, 0.838951140455609]","[0.8717410491179487, 0.8145147452423426, 0.8679883518871248, 0.8717464079138415, 0.8679822654507001]","[0.955021020938175, 0.9631819824432655, 0.9795993092110642, 0.9677933349338109, 0.9554735060839632]","[2.673760880499022, 2.5683494695212303, 2.6979334842906177, 2.68089819093907, 2.6624069119902725]",0.8336613928035952,0.8587945639223916,0.9642138307220558,2.6566697874480427,0.04564034800748884
63,3,33,hamming,417,"[0.8422868838873298, 0.8295437212635707, 0.8619880025186575, 0.8968003677816394, 0.8361557598797793]","[0.8589909652834677, 0.8622559998377898, 0.881538814943189, 0.9159730897851064, 0.854057681084892]","[0.9407226555662794, 0.9428033076555751, 0.9615433434338873, 0.9594128195488177, 0.9425035054488966]","[2.642000504737077, 2.6346030287569357, 2.7050701608957337, 2.7721862771155634, 2.6327169464135682]",0.8533549470661953,0.8745633101868888,0.9493971263306913,2.6773153835837755,0.05446342006152756
64,8,33,hamming,415,"[0.8366670187188494, 0.7908842728232599, 0.819354908770599, 0.8471023139812011, 0.8116427443678396]","[0.8624176844979513, 0.8239957366193696, 0.8418692875813326, 0.8798475643855754, 0.8482118798963056]","[0.9669398149976367, 0.9646740847350963, 0.9820809580198978, 0.9737469231402374, 0.9605591488322592]","[2.6660245182144378, 2.579554094177726, 2.6433051543718293, 2.700696801507014, 2.6204137730964043]",0.8211302517323498,0.851268430596107,0.9696001859450254,2.641998868273482,0.0409625481385564
65,4,36,hamming,373,"[0.8530692798215405, 0.8051794368371605, 0.8437850023003322, 0.8624509931527713, 0.8257986705129232]","[0.8767789624369178, 0.8344468343278861, 0.8607235496158486, 0.8790462588890626, 0.8414775313887154]","[0.9417212483066986, 0.9465718277623266, 0.964386677897827, 0.9607323678416213, 0.9501644223951664]","[2.671569490565157, 2.5861980989273734, 2.668895229814008, 2.7022296198834552, 2.617440624296805]",0.8380566765249455,0.8584946273316861,0.952715308840728,2.6492666126973594,0.041661281948877756
66,3,31,hamming,197,"[0.8412625654964201, 0.8135271895612461, 0.8558279575506533, 0.8983527534037649, 0.836242290085755]","[0.8556109603788563, 0.8409212130052879, 0.8755863569083498, 0.9155948022278431, 0.8542600854154965]","[0.9407200358870711, 0.9452120121078313, 0.9637132203977852, 0.959395416062843, 0.9423143929851072]","[2.6375935617623476, 2.599660414674365, 2.6951275348567885, 2.773342971694451, 2.6328167684863586]",0.849042551219568,0.8683946835871665,0.9502710154881274,2.6677082502948624,0.06109882066274986
67,10,30,hamming,206,"[0.8070429242503419, 0.7929344813291572, 0.8365420696035173, 0.8153944136126023, 0.8330236960633525]","[0.8363794839893849, 0.8273533557687823, 0.8623579305809724, 0.8421775479374896, 0.8647346613829527]","[0.9719581866429265, 0.9654127642335966, 0.9814267144182771, 0.9867077945437828, 0.9628209644939916]","[2.6153805948826534, 2.5857006013315362, 2.680326714602767, 2.6442797560938747, 2.660579321940297]",0.8169875169717942,0.8466005959319164,0.9736652848665148,2.637253397770226,0.03342121900662592
68,5,26,cosine,176,"[0.8300773282042967, 0.8132733701764744, 0.8285856162961907, 0.8463569575659767, 0.8282932054720211]","[0.8520803212997035, 0.8415300791593425, 0.8602715532954869, 0.874737929441208, 0.8635740360218541]","[0.9470866909175345, 0.9547196637761398, 0.9617058963396775, 0.9646418358896227, 0.9570769574501655]","[2.6292443404215344, 2.6095231131119565, 2.650563065931355, 2.6857367228968076, 2.648944198944041]",0.829317295542992,0.8584387838435189,0.9570462088746281,2.644802288261139,0.02534813548409105
69,7,31,hamming,156,"[0.8534284955748812, 0.7855830541001839, 0.8444434172110326, 0.8120105044943619, 0.811550570419667]","[0.8851961900872135, 0.8159612453574537, 0.8693471233886987, 0.8367701874492789, 0.8484725637355963]","[0.9658461859082454, 0.9464430379095491, 0.9720611007071587, 0.9671262108073823, 0.9584066789143408]","[2.70447087157034, 2.5479873373671866, 2.68585164130689, 2.615906902751023, 2.6184298130696044]",0.8214032083600251,0.8511494620036482,0.9619766428493353,2.634529313213009,0.05589508852485871
70,9,32,hamming,242,"[0.8069630252434954, 0.780014323475553, 0.827396574384519, 0.8118310185763267, 0.8126066915305533]","[0.8369825924539634, 0.8057012713375415, 0.8594650004511881, 0.8376030275567691, 0.8509557687608307]","[0.9702159401793574, 0.9642349911639668, 0.9814058763089604, 0.9764290066743436, 0.9597490826413337]","[2.6141615578768165, 2.5499505859770615, 2.6682674511446676, 2.6258630528074396, 2.6233115429327176]",0.8077623266420895,0.8381415321120584,0.9704069793935923,2.616310838147741,0.03807373577767991
71,3,33,hamming,193,"[0.8412376079298431, 0.816158271432438, 0.8557730577428027, 0.8971440484085125, 0.8228596684889703]","[0.857506108474407, 0.8419159727110679, 0.8758410688914537, 0.9160436297405519, 0.8342021417859913]","[0.9407465579621794, 0.9463166909760562, 0.963729666529727, 0.9593810492333822, 0.9362932662460968]","[2.6394902743664295, 2.604390935119562, 2.6953437931639836, 2.7725687273824464, 2.5933550765210582]",0.8466345308005133,0.8651017843206944,0.9492934461894883,2.6610297613106964,0.06613646925243598
72,6,35,hamming,406,"[0.847490867247168, 0.8053367678564121, 0.8625164949133611, 0.8463335353958732, 0.8383569510724385]","[0.8720126597563612, 0.8364873246311206, 0.887434101923655, 0.8786501850673969, 0.8677499876815825]","[0.9603421242459604, 0.963181130003309, 0.9773584075258371, 0.9677978006571457, 0.9554750036361375]","[2.6798456512494897, 2.6050052224908415, 2.727309004362853, 2.692781521120416, 2.6615819423901583]",0.8400069232970507,0.8684668518120233,0.964830893213678,2.6733046683227517,0.040350556793974195
