trial_number,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda,param_min_child_weight,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
26,231,38,0.028165779324128358,0.7783503073126582,0.876835043958283,0.8330567161374838,0.000665147016564764,0.08048181491177075,2,"[0.9380981886695614, 0.936211613708909, 0.9535648726894884, 0.9487710020807981, 0.9331146041198792]","[0.7823292926608686, 0.8266666270811013, 0.8194163003271175, 0.8233914356378854, 0.8129250749556226]","[0.9994897976102441, 0.9995488662512624, 0.9992947751441598, 0.9995886746854281, 0.9995699002077049]","[2.7199172789406743, 2.7624271070412725, 2.772275948160766, 2.771751112404112, 2.7456095792832067]",0.9419520562537272,0.812945746132519,0.9994984027797598,2.7543962051660063,0.01975537672527777
27,298,41,0.2614486648804127,0.6056394263413472,0.780125799669867,1.4803860534163444,0.0009446597392448517,0.023816771139300964,5,"[0.9491547624777344, 0.937250719052619, 0.9500936119885053, 0.9529932320622808, 0.9316518925972563]","[0.7989828553007089, 0.8039634977952878, 0.8110057500793169, 0.8206513767220229, 0.8102323333876239]","[0.9988291524842684, 0.9982847391598915, 0.9988750686976925, 0.9992666312363724, 0.9992767925294612]","[2.746966770262712, 2.7394989560077985, 2.7599744307655145, 2.7729112400206763, 2.7411610185143416]",0.9442288436356792,0.8089671626569922,0.9989064768215371,2.7521024831142085,0.012648415026575915
28,271,46,0.12273266845192309,0.8175114720271748,0.945237207402992,0.3196251095081143,0.010299609743993798,0.0042097590750907335,3,"[0.9385199813906744, 0.9392771447167745, 0.9417905739302127, 0.9491672762001784, 0.9274095507470801]","[0.8156317788957916, 0.822074880860087, 0.826708495294741, 0.8356940678572315, 0.8251270850957269]","[0.9992783223764066, 0.9988111449715342, 0.9988138024771515, 0.999560173722425, 0.9994316220945588]","[2.753430082662873, 2.7601631705483958, 2.767312871702105, 2.784421517779835, 2.751968257937366]",0.939232905396984,0.8250472616007155,0.9991790131284152,2.763459180126115,0.01181319860565242
29,156,35,0.04446820060981447,0.6711722128852993,0.8319874093398648,0.7033930211724225,0.2765261709980228,0.022816476488581726,3,"[0.9433454712839346, 0.936259691987077, 0.9509589681897113, 0.9603957517325596, 0.9399047022691173]","[0.779473139071159, 0.8222425289187909, 0.8111508731719368, 0.8243022104936181, 0.8125366511811773]","[0.9994923605018744, 0.9995534402338264, 0.9993191535855465, 0.9996134540405278, 0.9996177037602546]","[2.7223109708569684, 2.7580556611396942, 2.7614289949471944, 2.7843114162667058, 2.752059057210549]",0.94617291709248,0.8099410805673365,0.9995192224244059,2.755633220084223,0.01992508517934752
30,192,29,0.09602021028100008,0.7167322994153172,0.7754324197015611,2.160217756351349,0.025367957534277532,0.355008438165425,1,"[0.9470559822964446, 0.9463014145876559, 0.9525238267753336, 0.9570284208452162, 0.9374117585268686]","[0.8077077963222008, 0.8108265210652302, 0.8103827532052955, 0.8179587646934126, 0.814894185429424]","[0.9994367206976229, 0.9988722751752648, 0.998906533018895, 0.999564364410884, 0.9994290955699613]","[2.7542004993162683, 2.7560002108281507, 2.761813112999524, 2.774551549949513, 2.751735039526254]",0.9480642806063038,0.8123540041431128,0.9992417977745255,2.759660082523942,0.008153518976024938
31,256,36,0.06567393318432539,0.6476184428166758,0.8915287063419447,0.21799997220460146,0.06171000461405166,0.09556579023731633,3,"[0.9380559139505109, 0.9314930019525017, 0.9464679021781344, 0.9512402294953634, 0.9339151533847267]","[0.8129039092761112, 0.8328889177606142, 0.8275823104376825, 0.8280963302016379, 0.8266250018259643]","[0.9995108836164642, 0.9992675490130225, 0.9992947269577163, 0.9995865793955733, 0.9994541324735973]","[2.7504707068430863, 2.763649468726139, 2.773344939573533, 2.7789231390925746, 2.7599942876842887]",0.9402344401922476,0.825619293900402,0.9994227742912747,2.7652765083839244,0.010010903899189884
32,247,40,0.08469057213641264,0.6245908260996713,0.9796716285035003,0.16833526056643539,0.006217201068719063,0.0035227462034911295,4,"[0.9379240480569844, 0.9314890696185549, 0.9460146835997219, 0.9458006853446369, 0.933758979772477]","[0.8148688859902223, 0.8324603499718313, 0.8254280125647349, 0.8264493899479298, 0.8269748213222539]","[0.9995184808870998, 0.9988555478383332, 0.999186440038843, 0.9995505974116393, 0.9994025675438087]","[2.752311414934306, 2.7628049674287194, 2.7706291362032998, 2.771800672704206, 2.7601363686385394]",0.9389974932784749,0.8252362919593944,0.9993027267439448,2.7635365119818145,0.007165202114479081
33,279,34,0.007290000888940733,0.6743213905662888,0.9201984794361655,1.220272816231279,0.036310022729281785,0.014178535884650434,2,"[0.9423910953286709, 0.9517386291984375, 0.9511266174095698, 0.947069029125171, 0.9385559486553587]","[0.7424841942192815, 0.7892032179277443, 0.7673709611601215, 0.7833096077300667, 0.7734582329787547]","[0.99905587527785, 0.9992130942720019, 0.9990393267186881, 0.9992906211844209, 0.9993357407384298]","[2.683931164825802, 2.740154941398184, 2.7175369052883793, 2.729669258039659, 2.711349922372543]",0.9461762639434415,0.7711652428031937,0.9991869316382781,2.7165284383849135,0.019085644148982322
34,233,45,0.031074947135825426,0.6332259263538697,0.7968727824663766,0.3919503677916153,0.008649228267436864,0.00033044198403553947,3,"[0.9238884321627541, 0.9363536262576738, 0.9490991633903697, 0.9554558595238772, 0.9396869826964656]","[0.7843723722340943, 0.8276807738516855, 0.8178129705462589, 0.8294921059752438, 0.8203632573206666]","[0.9995520883596006, 0.9995810990473676, 0.9994517382331836, 0.9996472359864851, 0.9996558456414677]","[2.707812892756449, 2.7636154991567268, 2.766363872169812, 2.784595201485606, 2.7597060856585998]",0.9408968128062281,0.8159442959855898,0.9995776014536208,2.7564187102454385,0.02576022905885314
35,283,24,0.05277571817179538,0.7603510451982627,0.879809412323776,0.9647425072293874,0.03993015299155092,0.05187004233507839,3,"[0.9155288676979012, 0.9464508519092654, 0.9481750531152577, 0.9506770825963627, 0.9378735583551493]","[0.7825517057379417, 0.833008010254985, 0.8150417941470691, 0.8287631051216607, 0.8255275522061365]","[0.9995162065816917, 0.9992111488121139, 0.9989101987215743, 0.9995877333727087, 0.999502507039708]","[2.6975967800175344, 2.7786700109763642, 2.762127045983901, 2.7790279210907323, 2.762903617600994]",0.9397410827347873,0.8169784334935587,0.9993455589055593,2.756065075133905,0.03013413382313837
