trial_number,param_alpha,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
42,0.00024983213540528704,"[0.9118170095846883, 0.9088989214478042, 0.9297437882421035, 0.9489569872679584, 0.8811637925618702]","[0.8582564426695426, 0.8637809799229009, 0.8724675978207037, 0.8895289081668569, 0.8473935389348121]","[0.9997545919501596, 0.999664775737765, 0.9998552710595778, 0.9998462704758144, 0.9997663908456328]","[2.7698280442043908, 2.77234467710847, 2.802066657122385, 2.8383321659106295, 2.728323722342315]",0.9161160998208848,0.8662854935029631,0.99977746001379,2.7821790533376385,0.036601496950196794
43,0.00024127028582210418,"[0.9118170095846883, 0.9088989214478042, 0.9297437882421035, 0.9489569872679584, 0.8811637925618702]","[0.8582564426695426, 0.8637809799229009, 0.8724675978207037, 0.8895289081668569, 0.8473935389348121]","[0.9997546859990918, 0.9996648015454918, 0.9998556440097894, 0.9998462788038419, 0.9997672625099787]","[2.769828138253323, 2.7723447029161967, 2.802067030072597, 2.838332174238657, 2.728324594006661]",0.9161160998208848,0.8662854935029631,0.9997777345736386,2.782179327897487,0.036601275788205385
44,0.0005904554976168307,"[0.9117450675845363, 0.908895962430198, 0.9296579514400473, 0.9488115596108478, 0.8810920738863517]","[0.8575053160113429, 0.863162469135313, 0.8643364175017129, 0.886758629591094, 0.8468767909268259]","[0.9997521576854403, 0.9996615103065056, 0.9998537086446596, 0.9998436885120049, 0.9997608053839758]","[2.7690025412813197, 2.771719941872017, 2.7938480775864196, 2.835413877713947, 2.7277296701971534]",0.9160405229903963,0.8637279246332576,0.9997743741065174,2.779542821730171,0.0351656448109627
45,0.00011205935948960118,"[0.9118229284956085, 0.9090894480329779, 0.9298913902171165, 0.9490029057409923, 0.8818695405914515]","[0.8593171247578245, 0.8715627935542216, 0.873481666289545, 0.8945529415166992, 0.8528437850212955]","[0.9997580308554177, 0.9996679343089069, 0.9998568636050003, 0.9998472254898501, 0.99977208947861]","[2.770898084108851, 2.7803201758961062, 2.803229920111662, 2.8434030727475417, 2.734485415091357]",0.9163352426156294,0.870351662227917,0.9997804287475571,2.7864673335911037,0.0360692989347762
46,0.0001007838766164421,"[0.9118229284956085, 0.9090894480329779, 0.9299713102970366, 0.9490058649775094, 0.8818695405914515]","[0.8593171247578245, 0.8715627935542216, 0.8774160782953234, 0.8949317884584751, 0.8528437850212955]","[0.9997581490706267, 0.9996680993204273, 0.9998570936067118, 0.9998472521376258, 0.9997722245524708]","[2.7708982023240596, 2.7803203409076267, 2.8072444821990716, 2.84378490557361, 2.734485550165218]",0.9163518184789167,0.871214314017428,0.9997805637375725,2.787346696233917,0.036593487793749206
47,0.001492868901312424,"[0.9116648268623699, 0.9084249281159158, 0.9296549930789795, 0.9488026819012968, 0.8810845096303573]","[0.8497929853535383, 0.8571969398134854, 0.8620227704181914, 0.8817738852553635, 0.8404253123377944]","[0.9997484706409183, 0.9996566229910209, 0.9998482577023379, 0.9998403057720938, 0.9997536896380532]","[2.7612062828568265, 2.765278490920422, 2.7915260211995085, 2.830416872928754, 2.721263511606205]",0.9159263879177839,0.8582423786356745,0.9997694693488848,2.7739382359023432,0.036085695291069565
48,0.08054452590294467,"[0.8922915231580995, 0.9026613583859657, 0.9226791594014206, 0.9283165872659422, 0.8783727977500216]","[0.811131093207271, 0.8237383222375594, 0.8116964186678638, 0.8425358194855381, 0.8142278311547403]","[0.999645573363086, 0.9995617588888362, 0.999794422949469, 0.9997936344101308, 0.9995631676375372]","[2.7030681897284565, 2.7259614395123615, 2.7341700010187533, 2.770646041161611, 2.692163796542299]",0.9048642851922899,0.8206658969505944,0.9996717114498118,2.725201893592696,0.027304179579456394
49,0.00021063487419632038,"[0.9118170095846883, 0.9089389214478042, 0.9298114701371964, 0.9489569872679584, 0.8811683971434289]","[0.8582564426695426, 0.8641286072226151, 0.8725039520080293, 0.8895289081668569, 0.8478870979544331]","[0.999756478618466, 0.9996652371984704, 0.9998558014746542, 0.9998463954652691, 0.9997676029236524]","[2.769829930872697, 2.7727327658688896, 2.80217122361988, 2.8383322909000843, 2.7288230980215147]",0.9161385571162152,0.8664610016042953,0.9997783031361024,2.782377861856613,0.03644520950000178
50,0.0003853771790648928,"[0.9117450675845363, 0.908895962430198, 0.9296979114800074, 0.9488145188473648, 0.8811591879803116]","[0.8577268296671476, 0.8634649095981599, 0.8646387701441454, 0.8867654719052208, 0.8469127388188865]","[0.999753716618505, 0.999663540097298, 0.9998543381490438, 0.9998450869022357, 0.9997631374187371]","[2.769225613870189, 2.772024412125656, 2.7941910197731965, 2.835425077654821, 2.727835064217935]",0.9160625296644836,0.8639017440267119,0.999775963837164,2.7797402375283595,0.03513933640836273
51,0.00017370260054278154,"[0.9118199690401484, 0.9089389214478042, 0.9298514301771565, 0.9489569872679584, 0.8812515975400312]","[0.8590646549173506, 0.8641286072226151, 0.872826473585429, 0.8895289081668569, 0.8488381302955885]","[0.9997567974103363, 0.9996655679571822, 0.9998560817217954, 0.9998465898460084, 0.9997694414489047]","[2.770641421367835, 2.7727330966276016, 2.8025339854843807, 2.838332485280824, 2.7298591692845244]",0.9161637810946198,0.8668773548375679,0.9997788956768453,2.7828200316090332,0.036125310332076714
