trial_number,param_C,param_penalty,param_l1_ratio,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
11,74.55514531375704,elasticnet,0.8973975168532221,"[0.9439212977749133, 0.9696747227822666, 0.9710966673796952, 0.9357185361762741, 0.9261786293928844]","[0.816400939073497, 0.7367901685597288, 0.7723285358361457, 0.7260697160722671, 0.7867655646594082]","[0.9996612244347125, 0.9993669012405044, 0.9997588170999135, 0.9993271242173514, 0.9993651121436298]","[2.759983461283123, 2.7058317925825, 2.7431840203157543, 2.661115376465893, 2.7123093061959223]",0.9493179707012068,0.7676709848402093,0.9994958358272223,2.7164847913686385,0.034063694094848884
12,98.53462492090843,elasticnet,0.8857079829094673,"[0.9544845832860195, 0.961076105554227, 0.9710940710537964, 0.9346742557716675, 0.9374116039713261]","[0.7858007247543278, 0.8353931525817209, 0.8042686971943099, 0.7916496580713422, 0.8066866517053236]","[0.9996547947580038, 0.9995477959364497, 0.9997860484029816, 0.999511167277971, 0.9993973267583196]","[2.739940102798351, 2.7960170540723976, 2.775148816651088, 2.7258350811209806, 2.7434955824349694]",0.9517481239274073,0.8047597768614049,0.9995794266267453,2.7560873274155573,0.025660112054036847
13,10.699252325509386,elasticnet,0.8614471439141775,"[0.9142583930286502, 0.9622773422832681, 0.9685127854599509, 0.9478283024672719, 0.9348766297092354]","[0.8032428651839573, 0.7910798901141721, 0.7534958883706407, 0.7057488821672299, 0.7953084336268162]","[0.9996742781219109, 0.9995307576246808, 0.9996890268524702, 0.9994912544346911, 0.9994005169189287]","[2.7171755363345182, 2.752887990022121, 2.7216977006830616, 2.6530684390691928, 2.72958558025498]",0.9455506905896753,0.7697751918925632,0.9995571667905363,2.714883049272775,0.03326644238278809
14,0.003280344514827401,elasticnet,0.7941098287054551,"[0.7748123425399556, 0.7398530001630094, 0.6576726342773207, 0.655366482351394, 0.7320942842127822]","[0.35377852231266843, 0.3590795596103884, 0.41636854491272884, 0.4290867569170185, 0.373023988236151]","[0.9543483383049807, 0.9807025890486131, 0.9034660466428255, 0.9509168495813789, 0.9653154502970313]","[2.0829392031576046, 2.079635148822011, 1.977507225832875, 2.0353700888497914, 2.0704337227459644]",0.7119597487088924,0.386267474397791,0.950949854774966,2.049177077881649,0.0396146962080086
15,13.046395433871458,elasticnet,0.8374089995815563,"[0.9078881498413313, 0.9577095945662006, 0.95997928506796, 0.9405186550985555, 0.9251079693505143]","[0.7493311335606169, 0.7973208737392455, 0.7679141416514078, 0.7661053004483268, 0.7991416516254652]","[0.9994446196194304, 0.9996350426019124, 0.9997519682349246, 0.9993333730688577, 0.9994925829783858]","[2.6566639030213786, 2.7546655109073583, 2.7276453949542923, 2.70595732861574, 2.723742203954365]",0.9382407307849123,0.7759626202050124,0.9995315173007022,2.713734868290627,0.03251631044360368
16,0.5071484716892062,elasticnet,0.3485507330429001,"[0.9012214927512655, 0.9255133914641138, 0.9577664406586373, 0.9136605011450376, 0.8838000889376879]","[0.652940419620722, 0.6536413627329348, 0.7076062563703844, 0.6254118375051003, 0.6463187073007739]","[0.9986913061438218, 0.9984153144814195, 0.9990883792617299, 0.9973553818103812, 0.997714059732973]","[2.5528532185158093, 2.5775700686784684, 2.6644610762907517, 2.536427720460519, 2.5278328559714347]",0.9163923829913484,0.6571837167059832,0.9982528882860653,2.5718289879833964,0.04932069138375151
17,0.00011134264817377272,elasticnet,0.11480887164867393,"[0.7632211109722623, 0.8024700786844089, 0.7803349679180062, 0.7715919931288515, 0.7699032924347776]","[0.21481460574846029, 0.21882503455372102, 0.2109260912629938, 0.2063477305938216, 0.20986495709263697]","[0.9742787194578096, 0.9773833122529585, 0.9774796359482445, 0.9727709642639708, 0.97508440346779]","[1.9523144361785323, 1.9986784254910883, 1.9687406951292443, 1.950710687986644, 1.9548526529952046]",0.7775042886276613,0.21215568385032674,0.9753994070781546,1.9650593795561426,0.017979366687787424
18,90.98041465653354,elasticnet,0.7335494659019719,"[0.9235479264219184, 0.9592021427609546, 0.9692830829226565, 0.9186650556998462, 0.9224360015608818]","[0.7849556020915182, 0.8114509140086086, 0.7726611832746965, 0.7418388462633493, 0.8164544301341112]","[0.9997209872140974, 0.9996347453029247, 0.9997549609582803, 0.999370935197136, 0.9994631538897449]","[2.708224515727534, 2.7702878020724877, 2.7416992271556335, 2.6598748371603316, 2.738353585584738]",0.9386268418732515,0.7854721951544568,0.9995889565124367,2.7236879935401452,0.037476030619148476
19,0.002056620169362798,elasticnet,0.8996584386777178,"[0.7973103848103189, 0.646613351312133, 0.6215389399883826, 0.6471039766090166, 0.517417857245238]","[0.3396829369763975, 0.3439898457410359, 0.2886530941510576, 0.34264402080421386, 0.21982317372810128]","[0.9736109497936775, 0.9358912633036534, 0.8636457493342563, 0.9550752853928834, 0.8447009627230603]","[2.1106042715803937, 1.9264944603568224, 1.7738377834736965, 1.944823282806114, 1.5819419936963994]",0.6459969019930178,0.30695861428016125,0.9145848421095062,1.8675403583826848,0.17825537910652395
20,5.758309763038167,l2,0.534094866884139,"[0.9201665869215048, 0.9592469229870989, 0.9717111250286615, 0.9310511769958505, 0.9088823401508174]","[0.7624489956442992, 0.7824585651296977, 0.7443426776162816, 0.7699419574084306, 0.7490047372051554]","[0.9989653378506579, 0.999253435694811, 0.9993936100892022, 0.9988754344358896, 0.9982391155988245]","[2.681580920416462, 2.7409589238116077, 2.7154474127341452, 2.6998685688401705, 2.6561261929547975]",0.9382116304167866,0.7616393866007728,0.9989453867338769,2.6987964037514365,0.028890148811767928
