seed,model,accuracy,balanced_accuracy,f1_macro,best_params
1,RandomForest,0.48484848484848486,0.36363636363636365,0.2768010936431989,"{'n_estimators': 211, 'max_depth': 44, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': False, 'criterion': 'gini', 'class_weight': 'balanced'}"
1,XGBoost,0.5151515151515151,0.22045454545454546,0.18108823529411766,"{'n_estimators': 80, 'max_depth': 39, 'learning_rate': 0.4499944314535969, 'subsample': 0.6698745747185997, 'colsample_bytree': 0.8632214273008469, 'gamma': 2.4285804299791507, 'reg_alpha': 0.026563981506122714, 'reg_lambda': 0.00019018909163394376, 'min_child_weight': 3}"
2,LogisticRegression,0.45454545454545453,0.32792207792207795,0.30314327485380116,"{'C': 62.5821008550862, 'penalty': 'l2'}"
2,AnnoyKNN,0.48484848484848486,0.25974025974025977,0.21331533963112911,"{'n_neighbors': 14, 'n_trees': 42, 'metric': 'cosine', 'search_k': 492}"
2,BernoulliNB,0.5757575757575758,0.4772727272727273,0.42023809523809524,{'alpha': 0.00012873035092067514}
2,MLP,0.48484848484848486,0.26136363636363635,0.22626262626262628,"{'hidden_layer_sizes': 128, 'activation': 'tanh', 'learning_rate_init': 0.037196212410014626, 'batch_size': 128, 'alpha': 0.03529764757002126}"
2,RandomForest,0.36363636363636365,0.3392857142857143,0.2628205128205128,"{'n_estimators': 84, 'max_depth': 15, 'min_samples_split': 15, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': False, 'criterion': 'gini', 'class_weight': 'balanced_subsample'}"
2,XGBoost,0.30303030303030304,0.1396103896103896,0.0989491791630829,"{'n_estimators': 98, 'max_depth': 22, 'learning_rate': 0.1349600944138992, 'subsample': 0.7439212727789595, 'colsample_bytree': 0.6931233635787759, 'gamma': 0.3122804934746404, 'reg_alpha': 0.0003657057235073612, 'reg_lambda': 5.448246108592635, 'min_child_weight': 5}"
3,LogisticRegression,0.40540540540540543,0.3935185185185185,0.24212454212454215,"{'C': 1.1593716967048016, 'penalty': 'elasticnet', 'l1_ratio': 0.30640976352628846}"
3,AnnoyKNN,0.5405405405405406,0.27469135802469136,0.2235060690943044,"{'n_neighbors': 24, 'n_trees': 43, 'metric': 'cosine', 'search_k': 120}"
3,BernoulliNB,0.43243243243243246,0.4074074074074074,0.25457875457875456,{'alpha': 0.047171695189787706}
3,MLP,0.5675675675675675,0.279320987654321,0.2105580693815988,"{'hidden_layer_sizes': 16, 'activation': 'logistic', 'learning_rate_init': 0.03342127197617589, 'batch_size': 64, 'alpha': 0.001709402791487746}"
3,RandomForest,0.43243243243243246,0.449074074074074,0.3013888888888889,"{'n_estimators': 231, 'max_depth': 31, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': False, 'criterion': 'entropy', 'class_weight': 'balanced'}"
