model,repeat,seed,n_features,best_params,test_acc_balanced,test_f1_macro,test_f1_weighted,test_auc,test_acc_balanced_clean,test_f1_macro_clean,test_f1_weighted_clean,test_auc_clean,train_acc_balanced,train_f1_macro,train_f1_weighted,train_auc
RandomForest,2,2,153,"{'n_estimators': 202, 'max_depth': 46, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.9505418371561489,0.8452346866768152,0.9935539613350794,0.9997860012576402,0.9262820512820512,0.838095238095238,0.9314814814814816,0.9966709760827407,0.9675856217111357,0.8497729024474444,0.9939215522746409,0.9999039762943732
RandomForest,3,3,153,"{'n_estimators': 279, 'max_depth': 50, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': False, 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",0.9415314041368574,0.8263132877948624,0.9930264936498785,0.9996568568121859,0.6805555555555556,0.5999149659863944,0.7945624195624196,0.9838068848228947,0.9744935602487557,0.8416854414361868,0.9935037106918279,0.9999152131805522
RandomForest,4,4,153,"{'n_estimators': 275, 'max_depth': 47, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': False, 'criterion': 'entropy', 'class_weight': 'balanced_subsample'}",0.9381390158408043,0.8236798885365805,0.9930991379883775,0.9997220912017123,0.9916666666666667,0.9190283400809717,0.9861495844875346,0.9982142857142856,0.9744101678336935,0.8519925236082151,0.9937937296712129,0.9999038812649695
RandomForest,5,5,153,"{'n_estimators': 202, 'max_depth': 42, 'min_samples_split': 17, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.9274773074609206,0.8423112060350713,0.9931979548222132,0.9997839262782179,0.8861111111111111,0.71986531986532,0.921865715983363,0.993903318903319,0.9768702788311795,0.8557031046525093,0.993336745790704,0.9998943339505101
RandomForest,6,6,153,"{'n_estimators': 106, 'max_depth': 48, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': False, 'criterion': 'gini', 'class_weight': 'balanced'}",0.9488076277503401,0.8298784167680101,0.9932195885011483,0.9998500396644355,0.9286858974358975,0.8566332218506131,0.9151828847481023,0.9944884634888438,0.9746607587722322,0.8428488562914284,0.9933604840781186,0.999892742505763
RandomForest,7,7,153,"{'n_estimators': 177, 'max_depth': 46, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': False, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.927793658488359,0.8256282163861934,0.9928915497745273,0.9996441696368372,0.8452380952380952,0.7373737373737373,0.9169472502805837,0.9983037485827665,0.977341719046875,0.8606480449076216,0.9930916002144298,0.999893382498551
RandomForest,8,8,153,"{'n_estimators': 263, 'max_depth': 49, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True, 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",0.9515752967676505,0.8503781701842406,0.993093737069759,0.999644638983777,0.9404761904761905,0.7020979020979021,0.9356125356125357,0.9982142857142857,0.9718647762679049,0.8551896417257331,0.99339919523096,0.9999143101138935
RandomForest,9,9,153,"{'n_estimators': 292, 'max_depth': 37, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True, 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",0.937330619753473,0.8240316967434734,0.9910291760086936,0.9995712062957108,0.8904761904761905,0.8140225787284611,0.8342398342398343,0.9898809523809523,0.9711755331699454,0.8516354213329841,0.9922991243597467,0.9998628644343279
XGBoost,0,0,153,"{'n_estimators': 299, 'max_depth': 24, 'learning_rate': 0.04164237331783213, 'subsample': 0.9697294082093025, 'colsample_bytree': 0.6220529474016685, 'gamma': 0.10820532911638053, 'reg_alpha': 0.009139461487599287, 'reg_lambda': 0.00985777764812377, 'min_child_weight': 4}",0.9560863409784507,0.8163656691300973,0.992365162467342,0.9997322044550964,0.8971428571428571,0.7846907993966817,0.9054001554001554,0.9906524725274725,0.9732709559966624,0.823180573544963,0.9924951510540461,0.9999189643316531
XGBoost,1,1,153,"{'n_estimators': 167, 'max_depth': 12, 'learning_rate': 0.35190485697237434, 'subsample': 0.8551119215132618, 'colsample_bytree': 0.634516295552619, 'gamma': 0.034758959180915344, 'reg_alpha': 0.0012889433809285963, 'reg_lambda': 2.765011670395823, 'min_child_weight': 2}",0.9530509884354319,0.8192834765297745,0.9923223493039448,0.9996946820594376,0.8541666666666666,0.7636363636363637,0.9070707070707071,0.9958942901234569,0.9718336717638641,0.8375990713734371,0.9931468059133227,0.9999322833721596
